set_id,timestamp,mote_id,has_fault_type,temperature
12,'2007-09-21T09:49:39',7,0,5.82
12,'2007-09-21T09:51:39',7,0,6.06
12,'2007-09-21T09:53:39',7,0,6.24
12,'2007-09-21T09:55:39',7,0,6.42
12,'2007-09-21T09:57:39',7,0,6.61
12,'2007-09-21T09:59:39',7,0,6.9
12,'2007-09-21T10:01:39',7,0,6.94
12,'2007-09-21T10:03:39',7,0,7.2
12,'2007-09-21T10:05:39',7,0,6.88
12,'2007-09-21T10:07:39',7,0,6.93
12,'2007-09-21T10:09:39',7,0,7.14
12,'2007-09-21T10:11:39',7,0,7.28
12,'2007-09-21T10:13:39',7,0,7.1
12,'2007-09-21T10:15:39',7,0,7.42
12,'2007-09-21T10:17:39',7,0,7.11
12,'2007-09-21T10:19:39',7,0,7.46
12,'2007-09-21T10:21:39',7,0,7.61
12,'2007-09-21T10:23:39',7,0,7.25
12,'2007-09-21T10:25:39',7,0,7.12
12,'2007-09-21T10:27:39',7,0,7.34
12,'2007-09-21T10:29:39',7,0,7.24
12,'2007-09-21T10:31:39',7,0,7.2
12,'2007-09-21T10:33:39',7,0,7.28
12,'2007-09-21T10:35:39',7,0,7.48
12,'2007-09-21T10:37:39',7,0,7.5
12,'2007-09-21T10:39:39',7,0,7.51
12,'2007-09-21T10:41:39',7,0,7.52
12,'2007-09-21T10:43:39',7,0,7.44
12,'2007-09-21T10:45:39',7,0,7.47
12,'2007-09-21T10:47:39',7,0,7.56
12,'2007-09-21T10:49:39',7,0,7.74
12,'2007-09-21T10:51:39',7,0,7.57
12,'2007-09-21T10:53:39',7,0,7.73
12,'2007-09-21T10:55:39',7,0,7.74
12,'2007-09-21T10:57:39',7,0,7.93
12,'2007-09-21T10:59:39',7,0,7.87
12,'2007-09-21T11:01:39',7,0,7.87
12,'2007-09-21T11:03:39',7,0,7.68
12,'2007-09-21T11:05:39',7,0,8.16
12,'2007-09-21T11:07:39',7,0,8.26
12,'2007-09-21T11:09:39',7,0,8.02
12,'2007-09-21T11:11:39',7,0,7.9
12,'2007-09-21T11:13:39',7,0,7.94
12,'2007-09-21T11:15:39',7,0,7.91
12,'2007-09-21T11:17:39',7,0,8.04
12,'2007-09-21T11:19:39',7,0,8.12
12,'2007-09-21T11:21:39',7,0,8.09
12,'2007-09-21T11:23:39',7,0,8.14
12,'2007-09-21T11:25:39',7,0,8.23
12,'2007-09-21T11:27:39',7,0,8.2
12,'2007-09-21T11:29:39',7,0,8.38
12,'2007-09-21T11:31:39',7,0,8.24
12,'2007-09-21T11:33:39',7,0,8.25
12,'2007-09-21T11:35:39',7,0,8.34
12,'2007-09-21T11:37:39',7,0,8.35
12,'2007-09-21T11:39:39',7,0,8.35
