timestamp,mote_id,has_fault_type,temperature
"2015-07-27T00:03:27+0200","santander188","0","19.67"
"2015-07-27T00:08:25+0200","santander188","0","19.8"
"2015-07-27T00:13:22+0200","santander188","0","19.74"
"2015-07-27T00:18:25+0200","santander188","0","19.74"
"2015-07-27T00:23:18+0200","santander188","0","20"
"2015-07-27T00:28:36+0200","santander188","0","19.93"
"2015-07-27T00:33:14+0200","santander188","0","19.93"
"2015-07-27T00:38:11+0200","santander188","0","19.8"
"2015-07-27T00:43:09+0200","santander188","0","19.8"
"2015-07-27T00:48:07+0200","santander188","0","19.8"
"2015-07-27T00:53:05+0200","santander188","0","19.93"
"2015-07-27T00:58:04+0200","santander188","0","19.87"
"2015-07-27T01:12:59+0200","santander188","0","19.67"
"2015-07-27T01:17:53+0200","santander188","0","19.8"
"2015-07-27T01:22:52+0200","santander188","0","19.8"
"2015-07-27T01:27:49+0200","santander188","0","19.8"
"2015-07-27T01:32:47+0200","santander188","0","19.87"
"2015-07-27T01:37:44+0200","santander188","0","19.74"
"2015-07-27T01:42:42+0200","santander188","0","19.61"
"2015-07-27T01:47:34+0200","santander188","0","19.67"
"2015-07-27T01:52:31+0200","santander188","0","19.61"
"2015-07-27T01:57:29+0200","santander188","0","19.67"
"2015-07-27T02:02:27+0200","santander188","0","19.67"
"2015-07-27T02:07:24+0200","santander188","0","19.67"
"2015-07-27T02:12:22+0200","santander188","0","19.67"
"2015-07-27T02:17:20+0200","santander188","0","19.48"
"2015-07-27T02:22:17+0200","santander188","0","19.29"
"2015-07-27T02:27:15+0200","santander188","0","19.35"
"2015-07-27T02:32:13+0200","santander188","0","19.41"
"2015-07-27T02:37:11+0200","santander188","0","19.35"
"2015-07-27T02:42:08+0200","santander188","0","19.16"
"2015-07-27T02:47:06+0200","santander188","0","19.22"
"2015-07-27T02:52:04+0200","santander188","0","19.29"
"2015-07-27T02:57:10+0200","santander188","0","19.35"
"2015-07-27T03:02:00+0200","santander188","0","19.35"
"2015-07-27T03:06:57+0200","santander188","0","19.48"
"2015-07-27T03:11:55+0200","santander188","0","19.35"
"2015-07-27T03:16:54+0200","santander188","0","19.29"
"2015-07-27T03:21:51+0200","santander188","0","19.09"
"2015-07-27T03:26:53+0200","santander188","0","19.22"
"2015-07-27T03:31:47+0200","santander188","0","19.22"
"2015-07-27T03:36:45+0200","santander188","0","18.96"
"2015-07-27T03:41:43+0200","santander188","0","18.96"
"2015-07-27T03:46:40+0200","santander188","0","18.9"
"2015-07-27T03:51:38+0200","santander188","0","18.9"
"2015-07-27T03:56:36+0200","santander188","0","18.77"
"2015-07-27T04:01:34+0200","santander188","0","18.64"
"2015-07-27T04:06:31+0200","santander188","0","18.51"
"2015-07-27T04:11:29+0200","santander188","0","18.51"
"2015-07-27T04:16:27+0200","santander188","0","18.77"
"2015-07-27T04:21:24+0200","santander188","0","18.7"
"2015-07-27T04:26:26+0200","santander188","0","18.77"
"2015-07-27T04:31:20+0200","santander188","0","18.77"
"2015-07-27T04:36:18+0200","santander188","0","19.03"
"2015-07-27T04:41:15+0200","santander188","0","19.03"
"2015-07-27T04:46:13+0200","santander188","0","18.83"
"2015-07-27T04:51:11+0200","santander188","0","18.9"
