timestamp,mote_id,has_fault_type,temperature
'2015-08-10T18:00:00','santander181',0,27.00
'2015-08-10T18:05:00','santander181',0,27.09
'2015-08-10T18:10:00','santander181',0,27.17
'2015-08-10T18:15:00','santander181',0,27.25
'2015-08-10T18:20:00','santander181',0,27.33
'2015-08-10T18:25:00','santander181',0,27.41
'2015-08-10T18:30:00','santander181',0,27.35
'2015-08-10T18:35:00','santander181',0,26.64
'2015-08-10T18:40:00','santander181',0,26.49
'2015-08-10T18:45:00','santander181',0,26.34
'2015-08-10T18:50:00','santander181',0,26.20
'2015-08-10T18:55:00','santander181',0,26.05
'2015-08-10T19:00:00','santander181',0,25.90
'2015-08-10T19:05:00','santander181',0,25.75
'2015-08-10T19:10:00','santander181',0,25.60
'2015-08-10T19:15:00','santander181',0,25.45
'2015-08-10T19:20:00','santander181',0,25.31
'2015-08-10T19:25:00','santander181',0,25.16
'2015-08-10T19:30:00','santander181',0,25.01
'2015-08-10T19:35:00','santander181',0,24.86
'2015-08-10T19:40:00','santander181',0,24.71
'2015-08-10T19:45:00','santander181',0,24.56
'2015-08-10T19:50:00','santander181',0,24.42
'2015-08-10T19:55:00','santander181',0,24.27
'2015-08-10T20:00:00','santander181',0,24.12
'2015-08-10T20:05:00','santander181',0,23.97
'2015-08-10T20:10:00','santander181',0,23.82
'2015-08-10T20:15:00','santander181',0,23.67
'2015-08-10T20:20:00','santander181',0,23.53
'2015-08-10T20:25:00','santander181',0,23.38
'2015-08-10T20:30:00','santander181',0,23.23
'2015-08-10T20:35:00','santander181',0,23.08
'2015-08-10T20:40:00','santander181',0,22.93
'2015-08-10T20:45:00','santander181',0,22.78
'2015-08-10T20:50:00','santander181',0,22.63
'2015-08-10T20:55:00','santander181',0,22.49
'2015-08-10T21:00:00','santander181',0,22.34
'2015-08-10T21:05:00','santander181',0,22.19
'2015-08-10T21:10:00','santander181',0,22.05
'2015-08-10T21:15:00','santander181',0,21.91
'2015-08-10T21:20:00','santander181',0,21.77
'2015-08-10T21:25:00','santander181',0,21.63
'2015-08-10T21:30:00','santander181',0,21.49
'2015-08-10T21:35:00','santander181',0,21.35
'2015-08-10T21:40:00','santander181',0,21.29
'2015-08-10T21:45:00','santander181',0,21.03
'2015-08-10T21:50:00','santander181',0,21.35
'2015-08-10T21:55:00','santander181',0,21.29
'2015-08-10T22:00:00','santander181',0,21.22
'2015-08-10T22:05:00','santander181',0,21.09
'2015-08-10T22:10:00','santander181',0,20.96
'2015-08-10T22:15:00','santander181',0,20.96
'2015-08-10T22:20:00','santander181',0,20.9
'2015-08-10T22:25:00','santander181',0,20.96
'2015-08-10T22:30:00','santander181',0,20.96
'2015-08-10T22:35:00','santander181',0,20.96
'2015-08-10T22:40:00','santander181',0,20.96
'2015-08-10T22:45:00','santander181',0,20.96
'2015-08-10T22:50:00','santander181',0,20.90
'2015-08-10T22:55:00','santander181',0,20.84
'2015-08-10T23:00:00','santander181',0,20.78
'2015-08-10T23:05:00','santander181',0,20.72
'2015-08-10T23:10:00','santander181',0,20.66
'2015-08-10T23:15:00','santander181',0,20.60
'2015-08-10T23:20:00','santander181',0,20.54
'2015-08-10T23:25:00','santander181',0,20.48
'2015-08-10T23:30:00','santander181',0,20.42
'2015-08-10T23:35:00','santander181',0,20.36
'2015-08-10T23:40:00','santander181',0,20.30
'2015-08-10T23:45:00','santander181',0,20.24
'2015-08-10T23:50:00','santander181',0,20.18
'2015-08-10T23:55:00','santander181',0,20.12
'2015-08-11T00:00:00','santander181',0,20.06
'2015-08-11T00:05:00','santander181',0,20.00
'2015-08-11T00:10:00','santander181',0,19.94
'2015-08-11T00:15:00','santander181',0,19.88
'2015-08-11T00:20:00','santander181',0,19.82
'2015-08-11T00:25:00','santander181',0,19.76
'2015-08-11T00:30:00','santander181',0,19.70
'2015-08-11T00:35:00','santander181',0,19.64
'2015-08-11T00:40:00','santander181',0,19.58
'2015-08-11T00:45:00','santander181',0,19.52
'2015-08-11T00:50:00','santander181',0,19.46
'2015-08-11T00:55:00','santander181',0,19.40
'2015-08-11T01:00:00','santander181',0,19.34
'2015-08-11T01:05:00','santander181',0,19.28
'2015-08-11T01:10:00','santander181',0,19.22
'2015-08-11T01:15:00','santander181',0,19.16
'2015-08-11T01:20:00','santander181',0,19.16
'2015-08-11T01:25:00','santander181',0,19.15
